"planet","name","gm","radius","density","magnitude","albedo","Distance_to_planet (10^6km)","Velocity (km/s)"
"Jupiter","S/2003 J15","0.000001",1,"2.6","23.5R","0.04",28.9,1.86016332951081e-07
"Jupiter","S/2003 J16","0.000001",1,"2.6","23.3R","0.04",28.8,1.86338998124982e-07
"Jupiter","S/2003 J18","0.000001",1,"2.6","23.4R","0.04",28.6,1.86989398001691e-07
"Jupiter","S/2003 J19","0.000001",1,"2.6","23.7R","0.04",28.5,1.87317162316339e-07
"Jupiter","S/2003 J23","0.000001",1,"2.6","23.6R","0.04",28.4,1.876466562602e-07
"Jupiter","S/2010 J1","0.000001",1,"2.6","23.2r","0.04",27.9,1.89320611415688e-07
"Jupiter","S/2010 J2","0.000001",1,"2.6","24.0r","0.04",27.8,1.8966081045272e-07
"Jupiter","S/2011 J1","0.000001",1,"2.6","23.7R","0.04",27.6,1.9034674690672e-07
"Jupiter","S/2011 J2","0.000001",1,"2.6","23.5R","0.04",27.5,1.90692517849118e-07
"Saturn","Mimas","2.5026±0.0006",198.2,"1.150±0.004","12.8","0.962±0.004",0.185,0.00367798417173967
"Saturn","Enceladus","7.2027±0.0125",252.1,"1.608±0.003","11.8","1.375±0.008",0.238,0.0055012221713135
"Saturn","Tethys","41.2067±0.0038",533,"0.973±0.004","10.2","1.229±0.005",0.294,0.011838870027896
"Saturn","Dione","73.1146±0.0015",561.7,"1.476±0.004","10.4","0.998±0.004",0.377,0.0139261599529261
"Saturn","Rhea","153.9426±0.0037",764.3,"1.233±0.005","9.6","0.949±0.003",0.527,0.0170912607915835
"Saturn","Titan","8978.1382±0.0020",2574.73,"1.882±0.001","8.4","0.2",1.222,0.0857151402615028
"Saturn","Hyperion","0.3727±0.0012",135,"0.544±0.050","14.4","0.3",0.585,0.000798181694286468
"Saturn","Iapetus","120.5038±0.0080",735.6,"1.083±0.007","11","0.6",3.56,0.00581802217445688
"Saturn","Phoebe","0.5532±0.0006",106.5,"1.638±0.033","16.4","0.081±0.002",12.88,0.000207244567019274
"Saturn","Janus","0.1263±0.0087",89.5,"0.630±0.030","14.4","0.71±0.02",0.151,0.000914562103446017
"Saturn","Epimetheus","0.0351±0.0047",58.1,"0.640±0.062","15.6","0.73±0.03",0.151,0.000482131031075399
"Saturn","Helene","0.00076",17.6,"0.5","18.4","1.67±0.20",0.018,0.000205480466765633
"Saturn","Telesto","0.00027",12.4,"0.5","18.5","1.0",0.025,0.000103923048454133
"Saturn","Calypso","0.00017",10.7,"0.5","18.7","1.34±0.10",0.03,7.52772652709081e-05
"Saturn","Atlas","0.00044±0.00015",15.1,"0.460±0.110","19.0","0.4",0.137,5.66716757482677e-05
"Saturn","Prometheus","0.01074±0.00285",43.1,"0.480±0.090","15.8","0.6",0.138,0.000278973272835449
"Saturn","Pandora","0.00924±0.00152",40.7,"0.490±0.060","16.4","0.5",0.141,0.000255992021152256
"Saturn","Pan","0.00033±0.00015",14.1,"0.420±0.150","19.4","0.5",0.134,4.9625462891183e-05
"Saturn","Methone","0.0000006",1.6,"0.5","?","?",0.071,2.90700949866906e-06
"Saturn","Pallene","0.0000022",2.5,"0.5","?","?",0.121,4.26401432711221e-06
"Saturn","Polydeuces","0.0000003",1.3,"0.5","?","?",0.092,1.80578779628654e-06
"Saturn","Daphnis","0.0000052±0.0000052",3.8,"0.340±0.260","?","?",0.042,1.11269728052837e-05
"Saturn","Anthe","0.0000001",0.9,"0.5","?","?",0.066,1.23091490979333e-06
"Saturn","Aegaeon","0.000000004",0.3,"0.5","?","?",0.015,5.16397779494322e-07
"Saturn","Ymir","0.00033",9,"2.3","21.9R","0.06",23.57,3.74177077548517e-06
"Saturn","Paaliaq","0.00055",11,"2.3","21.1R","0.06",22.82,4.90934468192647e-06
"Saturn","Tarvos","0.00018",7.5,"2.3","22.7R","0.06",22.96,2.79995022354959e-06
"Saturn","Ijiraq","0.000080",6,"2.3","22.6R","0.06",22.3,1.89405489524151e-06
"Saturn","Suttungr","0.000014",3.5,"2.3","23.9R","0.06",23.1,7.78498944161523e-07
"Saturn","Kiviuq","0.00022",8,"2.3","22.1R","0.06",22.5,3.12694383988229e-06
"Saturn","Mundilfari","0.000014",3.5,"2.3","23.8R","0.06",23.1,7.78498944161523e-07
"Saturn","Albiorix","0.0014",16,"2.3","20.5R","0.06",23.8,7.6696498884737e-06
"Saturn","Skathi","0.000021",4,"2.3","23.6R","0.06",23.5,9.45313186873322e-07
"Saturn","Erriapus","0.000051",5,"2.3","23.4R","0.06",24,1.45773797371133e-06
"Saturn","Siarnaq","0.0026",20,"2.3","19.9R","0.06",24.6,1.02806155900592e-05
"Saturn","Thrymr","0.000014",3.5,"2.3","23.9R","0.06",24.8,7.51342883796911e-07
"Saturn","Narvi","0.000023",3.5,"2.3","23.8R","0.04",24.9,9.61090411520407e-07
"Saturn","Aegir","0.000000",3,"2.3","24.4R","0.04",24.5,0
"Saturn","Bebhionn","0.000000",3,"2.3","24.1R","0.04",25,0
"Saturn","Bergelmir","0.000000",3,"2.3","24.2R","0.04",25.2,0
"Saturn","Bestla","0.000000",3.5,"2.3","23.8R","0.04",25.3,0
"Saturn","Farbauti","0.000000",2.5,"2.3","24.7R","0.04",25.6,0
"Saturn","Fenrir","0.000000",2,"2.3","25.0R","0.04",25.8,0
"Saturn","Fornjot","0.000000",3,"2.3","24.6R","0.04",26,0
"Saturn","Hati","0.000000",3,"2.3","24.4R","0.04",26.1,0
"Saturn","Hyrrokkin","0.000000",3,"2.3","23.5R","0.04",26.5,0
"Saturn","Kari","0.000000",3,"2.3","23.9R","0.04",26.6,0
"Saturn","Loge","0.000000",3,"2.3","24.6R","0.04",26.9,0
"Saturn","Skoll","0.000000",3,"2.3","24.5R","0.04",27.2,0
